cflo,human,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250504.1,NP_849180.1,1.00E-137,410,2.00E-141,418
XP_011250504.1,NP_849181.1,7.00E-137,406,4.00E-142,418
XP_011250504.1,XP_005260464.1,3.00E-136,408,3.00E-140,417
XP_011250504.1,XP_016868862.1,8.00E-137,406,6.00E-141,414
XP_011250504.1,XP_016868863.1,8.00E-137,406,6.00E-141,414
XP_011250504.1,XP_016868864.1,8.00E-137,406,6.00E-141,414
XP_011250504.1,XP_016868865.1,8.00E-137,406,6.00E-141,414
XP_011250512.1,NP_000448.3,1.00E-138,412,1.00E-142,421
XP_011250512.1,NP_001025174.1,2.00E-139,413,1.00E-143,422
XP_011250512.1,NP_001025175.1,2.00E-138,409,5.00E-144,422
XP_011250512.1,NP_001245284.1,1.00E-138,412,8.00E-143,421
XP_011250512.1,NP_001274111.1,3.00E-139,413,5.00E-143,421
XP_011250512.1,NP_001274112.1,3.00E-138,410,2.00E-142,419
XP_011250512.1,NP_001274113.1,4.00E-138,408,2.00E-143,420
XP_011250512.1,NP_001317490.1,1.00E-138,410,2.00E-142,418
XP_011250512.1,NP_004124.5,2.00E-138,411,2.00E-142,420
XP_011250512.1,NP_787110.2,1.00E-138,412,1.00E-142,420
XP_011250512.1,NP_849180.1,3.00E-139,414,2.00E-143,423
XP_011250512.1,NP_849181.1,1.00E-138,410,5.00E-144,422
XP_011250512.1,XP_005260464.1,3.00E-138,413,4.00E-142,421
XP_011250512.1,XP_016868862.1,1.00E-138,410,2.00E-142,418
XP_011250512.1,XP_016868863.1,1.00E-138,410,2.00E-142,418
XP_011250512.1,XP_016868864.1,1.00E-138,410,2.00E-142,418
XP_011250512.1,XP_016868865.1,1.00E-138,410,2.00E-142,418
XP_011250513.1,NP_001001991.1,1.00E-20,99,3.00E-21,98.6
XP_011250513.1,NP_001269604.1,9.00E-21,99,2.00E-21,99
XP_011250513.1,NP_068813.1,2.00E-22,104,1.00E-22,103
XP_011250520.1,NP_000448.3,5.00E-137,408,6.00E-141,417
XP_011250520.1,NP_001025174.1,4.00E-138,410,5.00E-142,418
XP_011250520.1,NP_001025175.1,4.00E-137,406,1.00E-142,418
XP_011250520.1,NP_001245284.1,2.00E-136,406,3.00E-140,415
XP_011250520.1,NP_001274111.1,1.00E-137,409,1.00E-141,417
XP_011250520.1,NP_001274112.1,9.00E-137,407,2.00E-140,415
XP_011250520.1,NP_001274113.1,1.00E-136,404,3.00E-142,417
XP_011250520.1,NP_001317490.1,4.00E-137,406,3.00E-141,415
XP_011250520.1,NP_004124.5,3.00E-137,408,4.00E-141,416
XP_011250520.1,NP_787110.2,5.00E-137,407,9.00E-141,416
XP_011250520.1,NP_849180.1,7.00E-138,410,7.00E-142,419
XP_011250520.1,NP_849181.1,5.00E-137,406,1.00E-142,419
XP_011250520.1,XP_005260464.1,8.00E-136,407,1.00E-139,415
XP_011250520.1,XP_016868862.1,4.00E-137,406,3.00E-141,415
XP_011250520.1,XP_016868863.1,4.00E-137,406,3.00E-141,415
XP_011250520.1,XP_016868864.1,4.00E-137,406,3.00E-141,415
XP_011250520.1,XP_016868865.1,4.00E-137,406,3.00E-141,415
XP_011250523.1,NP_003749.2,1.00E-19,87.8,2.00E-29,113
XP_011250524.1,NP_115682.1,2.00E-62,199,4.00E-63,199
XP_011250525.1,NP_001244074.1,0,637,0,633
XP_011250525.1,NP_085911.2,0,659,0,642
XP_011250525.1,XP_005253390.1,0,658,0,642
XP_011250525.1,XP_006719113.1,0,654,0,639
XP_011250525.1,XP_016874420.1,0,654,0,638
XP_011250525.1,XP_016874421.1,0,659,0,642
XP_011250527.1,NP_000448.3,3.00E-137,408,5.00E-141,416
XP_011250527.1,NP_001025174.1,3.00E-138,409,6.00E-142,417
XP_011250527.1,NP_001025175.1,5.00E-137,405,1.00E-142,417
XP_011250527.1,NP_001245284.1,1.00E-136,406,2.00E-140,415
XP_011250527.1,NP_001274111.1,6.00E-138,409,1.00E-141,416
XP_011250527.1,NP_001274112.1,8.00E-137,406,9.00E-141,415
XP_011250527.1,NP_001274113.1,8.00E-137,404,2.00E-142,417
XP_011250527.1,NP_001317490.1,2.00E-137,406,2.00E-141,414
XP_011250527.1,NP_004124.5,4.00E-137,407,5.00E-141,416
XP_011250527.1,NP_787110.2,3.00E-137,407,3.00E-141,416
XP_011250527.1,NP_849180.1,3.00E-138,410,5.00E-142,418
XP_011250527.1,NP_849181.1,3.00E-137,406,1.00E-142,418
XP_011250527.1,XP_005260464.1,6.00E-136,406,6.00E-140,415
XP_011250527.1,XP_016868862.1,2.00E-137,406,2.00E-141,414
XP_011250527.1,XP_016868863.1,2.00E-137,406,2.00E-141,414
XP_011250527.1,XP_016868864.1,2.00E-137,406,2.00E-141,414
XP_011250527.1,XP_016868865.1,2.00E-137,406,2.00E-141,414
XP_011250529.1,NP_001338905.1,7.00E-112,353,9.00E-118,367
XP_011250529.1,NP_001338906.1,2.00E-105,337,1.00E-108,343
XP_011250529.1,NP_001338907.1,1.00E-105,336,3.00E-109,344
XP_011250529.1,NP_001338908.1,9.00E-106,336,2.00E-109,343
XP_011250529.1,NP_056348.2,7.00E-112,353,9.00E-118,367
XP_011250529.1,XP_011543214.1,7.00E-105,337,4.00E-108,343
XP_011250529.1,XP_016873006.1,3.00E-111,353,3.00E-117,367
XP_011250529.1,XP_016873007.1,6.00E-105,336,2.00E-108,343
XP_011250529.1,XP_016873008.1,2.00E-105,336,7.00E-109,343
XP_011250529.1,XP_016873009.1,2.00E-105,336,8.00E-109,343
XP_011250537.1,NP_006411.2,0,2142,0,2132
XP_011250537.1,NP_006412.2,0,2117,0,2099
XP_011250537.1,XP_005251191.1,0,2117,0,2099
XP_011250537.1,XP_005251192.1,0,2112,0,2094
XP_011250537.1,XP_005251193.1,0,2051,0,2034
XP_011250537.1,XP_005260309.1,0,2142,0,2132
XP_011250538.1,NP_073607.2,7.00E-37,132,2.00E-37,132
XP_011250539.1,NP_006098.2,6.00E-81,259,3.00E-80,256
XP_011250539.1,NP_057508.2,6.00E-81,259,3.00E-80,256
XP_011250539.1,XP_005257509.1,3.00E-79,255,2.00E-79,254
XP_011250540.1,NP_006098.2,4.00E-81,259,1.00E-80,256
XP_011250540.1,NP_057508.2,4.00E-81,259,1.00E-80,256
XP_011250540.1,XP_005257509.1,3.00E-79,255,2.00E-79,254
XP_011250541.2,NP_060345.2,1.00E-100,307,2.00E-101,307
XP_011250541.2,XP_006713277.1,2.00E-100,307,3.00E-101,307
XP_011250541.2,XP_011532171.1,5.00E-101,308,8.00E-102,308
XP_011250541.2,XP_024309379.1,8.00E-101,307,1.00E-101,307
XP_011250546.1,NP_001138341.1,2.00E-55,182,1.00E-60,194
XP_011250547.1,NP_066015.2,0,930,0,942
XP_011250547.1,XP_011524424.1,0,914,0,926
XP_011250547.1,XP_016881378.1,0,915,0,927
XP_011250547.1,XP_016881379.1,0,913,0,926
XP_011250548.1,NP_066015.2,0,933,0,945
XP_011250548.1,XP_011524424.1,0,917,0,929
XP_011250548.1,XP_016881378.1,0,918,0,930
XP_011250548.1,XP_016881379.1,0,914,0,927
XP_011250555.1,NP_001244962.1,3.00E-86,284,7.00E-87,284
XP_011250555.1,NP_001244965.1,2.00E-86,284,5.00E-87,284
XP_011250555.1,NP_060589.1,5.00E-86,284,1.00E-86,285
XP_011250555.1,XP_011544194.1,2.00E-86,285,6.00E-87,285
XP_011250555.1,XP_011544195.1,1.00E-86,284,2.00E-87,285
XP_011250570.1,NP_001364251.1,3.00E-69,223,2.00E-67,216
XP_011250579.1,NP_001129109.1,0,546,0,547
XP_011250579.1,NP_001129110.1,0,547,0,548
XP_011250579.1,NP_001182662.1,0,544,0,560
XP_011250579.1,NP_001287778.1,0,543,0,559
XP_011250579.1,NP_001317618.1,0,546,0,548
XP_011250579.1,NP_003548.1,0,546,0,548
XP_011250579.1,NP_036530.1,0,544,0,560
XP_011250579.1,XP_005245582.1,0,546,0,548
XP_011250579.1,XP_005245584.1,0,546,0,548
XP_011250579.1,XP_005245585.1,0,546,0,548
XP_011250579.1,XP_005245587.1,0,546,0,547
XP_011250579.1,XP_005245589.1,0,546,0,546
XP_011250579.1,XP_006711626.1,0,546,0,548
XP_011250579.1,XP_006711627.1,0,545,0,547
XP_011250579.1,XP_006711630.1,0,545,0,546
XP_011250579.1,XP_006711631.2,0,545,0,546
XP_011250579.1,XP_011508345.1,0,545,0,545
XP_011250579.1,XP_011508347.1,0,546,0,547
XP_011250579.1,XP_011508348.1,0,545,0,546
XP_011250579.1,XP_011508350.1,0,545,0,546
XP_011250579.1,XP_011508351.1,0,545,0,546
XP_011250579.1,XP_011526147.1,0,542,0,557
XP_011250579.1,XP_011526148.1,0,542,0,557
XP_011250579.1,XP_011526150.1,0,543,0,559
XP_011250579.1,XP_011526151.1,0,543,0,560
XP_011250579.1,XP_011526152.1,0,541,0,555
XP_011250579.1,XP_016857928.1,0,545,0,547
XP_011250579.1,XP_016857929.1,0,545,0,546
XP_011250579.1,XP_016857930.1,0,545,0,546
XP_011250579.1,XP_016882029.1,0,543,0,560
XP_011250579.1,XP_024305897.1,0,545,0,546
XP_011250579.1,XP_024305898.1,0,545,0,545
XP_011250579.1,XP_024305899.1,0,545,0,545
XP_011250580.1,NP_001129109.1,0,545,0,547
XP_011250580.1,NP_001129110.1,0,546,0,547
XP_011250580.1,NP_001182662.1,0,543,0,559
XP_011250580.1,NP_001287778.1,0,542,0,558
XP_011250580.1,NP_001317618.1,0,546,0,546
XP_011250580.1,NP_003548.1,0,545,0,547
XP_011250580.1,NP_036530.1,0,543,0,559
XP_011250580.1,XP_005245582.1,0,545,0,547
XP_011250580.1,XP_005245584.1,0,545,0,547
XP_011250580.1,XP_005245585.1,0,545,0,546
XP_011250580.1,XP_005245587.1,0,545,0,546
XP_011250580.1,XP_005245589.1,0,545,0,545
XP_011250580.1,XP_006711626.1,0,545,0,546
XP_011250580.1,XP_006711627.1,0,544,0,546
XP_011250580.1,XP_006711630.1,0,545,0,546
XP_011250580.1,XP_006711631.2,0,545,0,545
XP_011250580.1,XP_011508345.1,0,545,0,545
XP_011250580.1,XP_011508347.1,0,545,0,546
XP_011250580.1,XP_011508348.1,0,545,0,545
XP_011250580.1,XP_011508350.1,0,545,0,546
XP_011250580.1,XP_011508351.1,0,545,0,546
XP_011250580.1,XP_011526147.1,1.00E-180,541,0,556
XP_011250580.1,XP_011526148.1,1.00E-180,541,0,556
XP_011250580.1,XP_011526150.1,0,542,0,558
XP_011250580.1,XP_011526151.1,0,543,0,559
XP_011250580.1,XP_011526152.1,0,540,0,555
XP_011250580.1,XP_016857928.1,0,545,0,546
XP_011250580.1,XP_016857929.1,0,544,0,545
XP_011250580.1,XP_016857930.1,0,545,0,546
XP_011250580.1,XP_016882029.1,0,543,0,558
XP_011250580.1,XP_024305897.1,0,544,0,545
XP_011250580.1,XP_024305898.1,0,545,0,545
XP_011250580.1,XP_024305899.1,0,545,0,545
XP_011250589.2,NP_060298.2,5.00E-42,144,1.00E-42,144
XP_011250589.2,XP_005254566.1,8.00E-41,142,2.00E-41,142
XP_011250589.2,XP_011520041.1,4.00E-41,143,1.00E-41,143
XP_011250591.1,NP_000357.3,5.00E-86,264,4.00E-74,232
XP_011250591.1,NP_001018004.1,2.00E-86,265,2.00E-74,233
XP_011250591.1,NP_001018005.1,2.00E-89,273,1.00E-77,241
XP_011250591.1,NP_001351608.1,8.00E-86,263,2.00E-76,238
XP_011250591.1,NP_001351610.1,7.00E-89,271,1.00E-79,246
XP_011250591.1,NP_001352705.1,5.00E-86,264,3.00E-74,232
XP_011250591.1,NP_001352708.1,4.00E-90,275,3.00E-78,243
XP_011250591.1,NP_689476.2,5.00E-88,269,6.00E-79,244
XP_011250591.1,XP_006720730.3,2.00E-85,262,2.00E-73,230
XP_011250591.1,XP_016878027.2,5.00E-86,264,4.00E-74,232
XP_011250592.1,NP_000357.3,1.00E-87,268,1.00E-75,236
XP_011250592.1,NP_001018005.1,3.00E-91,278,2.00E-79,246
XP_011250592.1,NP_001351611.1,8.00E-87,266,9.00E-78,241
XP_011250592.1,NP_001352708.1,3.00E-91,277,2.00E-79,246
XP_011250592.1,NP_689476.2,3.00E-90,275,3.00E-81,250
XP_011250592.1,XP_006720730.3,1.00E-87,268,1.00E-75,236
XP_011250592.1,XP_016878027.2,1.00E-87,268,1.00E-75,236
XP_011250593.1,NP_001018004.1,2.00E-82,255,1.00E-70,223
XP_011250593.1,NP_001352705.1,2.00E-82,255,1.00E-70,223
XP_011250594.1,NP_001018004.1,2.00E-82,255,2.00E-70,223
XP_011250594.1,NP_001352705.1,2.00E-82,255,1.00E-70,223
XP_011250595.1,NP_000357.3,3.00E-86,265,5.00E-74,232
XP_011250595.1,NP_001018004.1,3.00E-86,265,2.00E-74,233
XP_011250595.1,NP_001018005.1,1.00E-89,273,4.00E-78,242
XP_011250595.1,NP_001351610.1,6.00E-85,261,9.00E-76,236
XP_011250595.1,NP_001351611.1,3.00E-85,262,2.00E-76,238
XP_011250595.1,NP_001352705.1,4.00E-86,264,3.00E-74,232
XP_011250595.1,NP_001352708.1,1.00E-89,273,4.00E-78,242
XP_011250595.1,NP_689476.2,1.00E-88,271,1.00E-79,246
XP_011250595.1,XP_006720730.3,3.00E-86,265,5.00E-74,232
XP_011250595.1,XP_016878027.2,3.00E-86,265,5.00E-74,232
XP_011250596.1,NP_001018004.1,1.00E-82,255,8.00E-71,223
XP_011250596.1,NP_001352705.1,2.00E-82,254,6.00E-71,224
XP_011250597.1,NP_001018004.1,3.00E-82,254,9.00E-71,223
XP_011250597.1,NP_001352705.1,2.00E-82,255,6.00E-71,224
XP_011250598.1,NP_001036816.1,4.00E-73,228,9.00E-65,206
XP_011250598.1,NP_001036817.1,1.00E-72,228,1.00E-64,205
XP_011250598.1,NP_001036818.1,5.00E-76,236,1.00E-67,213
XP_011250598.1,NP_001265118.1,3.00E-72,226,5.00E-64,204
XP_011250598.1,NP_001317275.1,2.00E-72,227,2.00E-64,205
XP_011250598.1,NP_001336608.1,2.00E-75,234,2.00E-67,212
XP_011250598.1,NP_001351612.1,3.00E-72,226,5.00E-64,204
XP_011250598.1,NP_001352707.1,3.00E-71,226,8.00E-63,203
XP_011250598.1,NP_001352711.1,4.00E-73,228,4.00E-65,206
XP_011250599.1,NP_001352711.1,2.00E-69,219,1.00E-61,197
XP_011250600.1,NP_001352711.1,1.00E-69,219,9.00E-62,197
XP_011250601.1,NP_001352711.1,1.00E-69,219,2.00E-61,197
XP_011250615.1,NP_001128512.1,0,695,0,648
XP_011250615.1,NP_001177765.1,0,696,0,648
XP_011250615.1,NP_001177766.1,0,696,0,648
XP_011250615.1,NP_004073.2,0,699,0,651
XP_011250616.1,NP_001128512.1,0,695,0,648
XP_011250616.1,NP_001177765.1,0,696,0,648
XP_011250616.1,NP_001177766.1,0,696,0,648
XP_011250616.1,NP_004073.2,0,699,0,651
XP_011250618.1,NP_001128512.1,0,702,0,654
XP_011250618.1,NP_001177765.1,0,701,0,655
XP_011250618.1,NP_001177766.1,0,699,0,652
XP_011250618.1,NP_004073.2,0,702,0,654
XP_011250619.1,NP_001128512.1,0,701,0,653
XP_011250619.1,NP_001177765.1,0,701,0,654
XP_011250619.1,NP_001177766.1,0,702,0,654
XP_011250619.1,NP_004073.2,0,704,0,656
XP_011250620.1,NP_001128512.1,0,705,0,658
XP_011250620.1,NP_001177765.1,0,703,0,658
XP_011250620.1,NP_001177766.1,0,701,0,654
XP_011250620.1,NP_004073.2,0,697,0,650
XP_011250622.1,NP_054829.2,9.00E-124,365,2.00E-124,365
XP_011250625.1,NP_612404.1,8.00E-155,465,2.00E-155,465
XP_011250627.1,NP_001020276.1,0,579,0,573
XP_011250627.1,NP_001258670.1,0,592,0,586
XP_011250627.1,NP_001883.4,0,593,0,587
XP_011250628.2,NP_001020276.1,0,581,0,574
XP_011250628.2,NP_001258670.1,0,592,0,587
XP_011250628.2,NP_001883.4,0,595,0,588
XP_011250629.1,NP_000785.1,4.00E-71,236,2.00E-73,240
XP_011250630.1,NP_000785.1,2.00E-71,236,5.00E-74,241
XP_011250635.1,NP_001139325.1,3.00E-64,235,1.00E-64,234
XP_011250635.1,NP_005996.2,3.00E-64,235,1.00E-64,234
XP_011250635.1,XP_016864075.1,3.00E-64,235,1.00E-64,235
XP_011250638.1,NP_001092870.1,1.00E-21,99,4.00E-22,99
XP_011250638.1,NP_001333644.1,1.00E-21,99.4,4.00E-22,99
XP_011250638.1,NP_001333646.1,1.00E-21,99,3.00E-22,99
XP_011250638.1,NP_001349736.1,1.00E-21,98.6,2.00E-22,99
XP_011250638.1,NP_001349737.1,9.00E-21,95.1,1.00E-21,95.5
XP_011250638.1,NP_001349738.1,5.00E-22,99.4,9.00E-23,99.8
XP_011250638.1,XP_011514966.1,3.00E-21,98.6,6.00E-22,98.6
XP_011250638.1,XP_011514968.1,2.00E-21,98.6,6.00E-22,98.6
XP_011250638.1,XP_016868256.1,2.00E-20,94.7,3.00E-21,95.1
XP_011250638.1,XP_024302754.1,1.00E-21,99,2.00E-22,99
XP_011250639.1,NP_001092871.1,2.00E-24,107,3.00E-25,107
