"human_name","human_ID","mouse_ID","drosophila_ID","baboon_ID","rat_ID","zebrafish_ID","anopheles_ID","aedes_ID","cflo_ID"
"androgen-induced gene 1 protein isoform b, androgen-induced gene 1 protein isoform e, androgen-induced gene 1 protein isoform g, androgen-induced gene 1 protein isoform h, androgen-induced gene 1 protein isoform i, androgen-induced gene 1 protein isoform j, androgen-induced gene 1 protein isoform k, androgen-induced gene 1 protein isoform l, androgen-induced gene 1 protein isoform m, androgen-induced gene 1 protein isoform a","AIG1","ENSMUSG00000019868","FBgn0035251","ENSPANG00000004286","ENSRNOG00000011540","ENSDARG00000013732",NA,NA,"LOC105254208"
"vacuolar protein sorting-associated protein VTA1 homolog isoform b, vacuolar protein sorting-associated protein VTA1 homolog isoform a","VTA1","ENSMUSG00000019865","FBgn0033058",NA,"ENSRNOG00000012103","ENSDARG00000054152",NA,"AAEL006676","LOC105252976"
"neuromedin-B receptor isoform a","NMBR","ENSMUSG00000039891","FBgn0003721","ENSPANG00000000622","ENSRNOG00000060021",NA,"AGAP008626",NA,"LOC105256752"
NA,"TXLNB","ENSMUSG00000039879","FBgn0010113","ENSPANG00000006924","ENSRNOG00000060972","ENSDARG00000042877",NA,"AAEL014549",NA
NA,"HECA","ENSMUSG00000019854","FBgn0032341","ENSPANG00000011061","ENSRNOG00000059224","ENSDARG00000002877","AGAP007542",NA,NA
NA,"REPS1","ENSMUSG00000059554","FBgn0031395","ENSPANG00000006096","ENSRNOG00000053347","ENSDARG00000022983",NA,NA,NA
NA,"CCDC28A","ENSMUSG00000019852","FBgn0029834","ENSPANG00000013002","ENSRNOG00000011460","ENSDARG00000077656",NA,NA,NA
"brefeldin A-inhibited guanine nucleotide-exchange protein 3","ARFGEF3","ENSMUSG00000020003","FBgn0035922","ENSPANG00000023965","ENSRNOG00000012322","ENSDARG00000042553",NA,"AAEL009428","LOC105249408"
NA,"PEX7","ENSMUSG00000071369","FBgn0014006","ENSPANG00000015068","ENSRNOG00000031700","ENSDARG00000005416","AGAP008180","AAEL006001",NA
"mitogen-activated protein kinase kinase kinase 5, mitogen-activated protein kinase kinase kinase 5 isoform X1, mitogen-activated protein kinase kinase kinase 5 isoform X2, mitogen-activated protein kinase kinase kinase 5 isoform X3, mitogen-activated protein kinase kinase kinase 5 isoform X4, mitogen-activated protein kinase kinase kinase 5 isoform X8, mitogen-activated protein kinase kinase kinase 5 isoform X9","MAP3K5","ENSMUSG00000019977","FBgn0042712","ENSPANG00000007075","ENSRNOG00000014531","ENSDARG00000036778","AGAP009525","AAEL007759","LOC105257525"
"HBS1-like protein isoform 1","HBS1L","ENSMUSG00000061983","FBgn0260441","ENSPANG00000016805","ENSRNOG00000016411","ENSDARG00000036875","AGAP000635","AAEL003117","LOC105257615"
"40S ribosomal protein S12","RPS12","ENSMUSG00000019998","FBgn0086377","ENSPANG00000019394","ENSRNOG00000020093","ENSDARG00000069208","AGAP006264","AAEL008306","LOC105259335"
NA,"STX7","ENSMUSG00000020000","FBgn0036565","ENSPANG00000019776","ENSRNOG00000015670","ENSDARG00000031136","AGAP000747","AAEL000825",NA
"DBH-like monooxygenase protein 1 precursor","MOXD1","ENSMUSG00000019984","FBgn0034795","ENSPANG00000018075","ENSRNOG00000048248","ENSDARG00000029157","AGAP002603","AAEL010299","LOC105253537"
"mediator of RNA polymerase II transcription subunit 23 isoform c, mediator of RNA polymerase II transcription subunit 23 isoform d, mediator of RNA polymerase II transcription subunit 23 isoform e, mediator of RNA polymerase II transcription subunit 23 isoform f, mediator of RNA polymerase II transcription subunit 23 isoform a, mediator of RNA polymerase II transcription subunit 23 isoform b, mediator of RNA polymerase II transcription subunit 23 isoform X2","MED23","ENSMUSG00000019987","FBgn0023535","ENSPANG00000010451","ENSRNOG00000015321","ENSDARG00000057429","AGAP011077","AAEL007731","LOC105254593"
"arginase-1 isoform 2, arginase-1 isoform 1","ARG1","ENSMUSG00000019792","FBgn0037250","ENSPANG00000007451","ENSRNOG00000013422","ENSDARG00000040033","AGAP005543","AAEL005869","LOC105256513"
"tRNA (guanine(10)-N2)-methyltransferase homolog isoform a, tRNA (guanine(10)-N2)-methyltransferase homolog isoform b, tRNA (guanine(10)-N2)-methyltransferase homolog isoform c","TRMT11","ENSMUSG00000019791","FBgn0054015","ENSPANG00000022840","ENSRNOG00000013304","ENSDARG00000074286","AGAP011450","AAEL014021","LOC105252775"
"histidine triad nucleotide-binding protein 3","HINT3","ENSMUSG00000039697","FBgn0013576","ENSPANG00000016564","ENSRNOG00000014240","ENSDARG00000055365","AGAP006046","AAEL002675","LOC105253852"
NA,"NCOA7","ENSMUSG00000069670","FBgn0085442","ENSPANG00000026299","ENSRNOG00000014190",NA,"AGAP008783","AAEL003922",NA
"sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2 isoform 1, sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2 isoform X1","NKAIN2","ENSMUSG00000019787","FBgn0033863","ENSPANG00000020087","ENSRNOG00000014004","ENSDARG00000069427","AAQ10289.1","AAEL008486","LOC105250172"
NA,"TRDN","ENSMUSG00000039552","FBgn0034957",NA,"ENSRNOG00000029608","ENSDARG00000041779","AGAP007577","AAEL002705",NA
"radial spoke head protein 4 homolog A isoform 1","RSPH4A","ENSMUSG00000019782","FBgn0039163","ENSPANG00000006886","ENSRNOG00000012609","ENSDARG00000067606","AGAP001751",NA,"LOC105248367"
"RWD domain-containing protein 1 isoform a","RWDD1","ENSMUSG00000039480","FBgn0035204","ENSPANG00000008148","ENSRNOG00000047471","ENSDARG00000015930",NA,NA,"LOC105250395"
"5'-nucleotidase domain-containing protein 1","NT5DC1","ENSMUSG00000019779","FBgn0264959",NA,"ENSRNOG00000042916","ENSDARG00000006797",NA,NA,"LOC105248280"
"tyrosine-protein kinase FRK, tyrosine-protein kinase FRK isoform X1","FRK","ENSMUSG00000063953","FBgn0019932","ENSPANG00000015735","ENSRNOG00000000546","ENSDARG00000027807",NA,"AAEL007647","LOC105257753"
"S-adenosylmethionine decarboxylase proenzyme isoform 1","AMD1","ENSMUSG00000019843","FBgn0264959","ENSPANG00000006182","ENSRNOG00000000543","ENSDARG00000043856","AGAP003063",NA,"LOC105257180"
NA,"FYN","ENSMUSG00000019838","FBgn0001296","ENSPANG00000003402","ENSRNOG00000000585","ENSDARG00000011370","AGAP001319","AAEL002471",NA
"monocarboxylate transporter 10","SLC16A10","ENSMUSG00000038510","FBgn0038585","ENSPANG00000005013","ENSRNOG00000000596","ENSDARG00000025319","AGAP006270","AAEL001176","LOC105253751"
"ribosome production factor 2 homolog isoform 1","RPF2","ENSMUSG00000075232","FBgn0019932","ENSPANG00000018834","ENSRNOG00000000588","ENSDARG00000020984","AGAP009619","AAEL002471","LOC105250513, LOC105250958"
"S-adenosylmethionine decarboxylase proenzyme isoform 1","AMD1","ENSMUSG00000063428","FBgn0033543","ENSPANG00000006182","ENSRNOG00000000587","ENSDARG00000043960","AGAP006270","AAEL003524","LOC105257180"
"D-aspartate oxidase isoform h","DDO","ENSMUSG00000038446","FBgn0038927","ENSPANG00000006524","ENSRNOG00000000585","ENSDARG00000043856","AGAP007743","AAEL004455","LOC105259382"
"pre-mRNA-processing factor 17","CDC40","ENSMUSG00000019831","FBgn0041781","ENSPANG00000023241","ENSRNOG00000000582","ENSDARG00000079664","AGAP003048","AAEL001176","LOC105250788"
NA,"WASF1","ENSMUSG00000038417","FBgn0031611","ENSPANG00000007144","ENSRNOG00000000581","ENSDARG00000041226","AGAP009619","AAEL008512",NA
"polyphosphoinositide phosphatase, polyphosphoinositide phosphatase isoform X2","FIG4","ENSMUSG00000019826","FBgn0003870","ENSPANG00000011216","ENSRNOG00000047476",NA,"AGAP005323","AAEL012674","LOC105252411"
NA,"ZBTB24","ENSMUSG00000019822","FBgn0035421","ENSPANG00000006918","ENSRNOG00000000312",NA,"AGAP008925","AAEL004232",NA
"sphingomyelin phosphodiesterase 2","SMPD2","ENSMUSG00000038332","FBgn0034897","ENSPANG00000024480","ENSRNOG00000000308","ENSDARG00000075533","AGAP008518","AAEL012519","LOC105251541"
"sestrin-1 isoform 2, sestrin-1 isoform 1, sestrin-1 isoform 3","SESN1","ENSMUSG00000071324","FBgn0052668","ENSPANG00000012995","ENSRNOG00000000306","ENSDARG00000040523","AGAP004477","AAEL008807","LOC105254367"
NA,"ARMC2","ENSMUSG00000038302","FBgn0033734","ENSPANG00000006019","ENSRNOG00000000302","ENSDARG00000052701","AGAP008959","AAEL003932",NA
"AFG1-like ATPase isoform a, AFG1-like ATPase isoform X1","AFG1L","ENSMUSG00000019803","FBgn0003720","ENSPANG00000007612","ENSRNOG00000026217","ENSDARG00000020693","AGAP008053","AAEL002009","LOC105252589"
"nuclear receptor subfamily 2 group E member 1 isoform a, nuclear receptor subfamily 2 group E member 1 isoform b","NR2E1","ENSMUSG00000019802","FBgn0035771","ENSPANG00000016092",NA,"ENSDARG00000022660","AGAP007169","AAEL002487","LOC105248499"
"translocation protein SEC63 homolog","SEC63","ENSMUSG00000038240","FBgn0037044","ENSPANG00000004976","ENSRNOG00000050550","ENSDARG00000011466","AGAP004728","AAEL000195","LOC105251217"
"decaprenyl-diphosphate synthase subunit 2","PDSS2","ENSMUSG00000045886","FBgn0038387","ENSPANG00000017550","ENSRNOG00000000314","ENSDARG00000017107","AGAP009867","AAEL003254","LOC105254678"
"mitochondrial import inner membrane translocase subunit TIM16","PAM16","ENSMUSG00000019863","FBgn0260779",NA,"ENSRNOG00000042962","ENSDARG00000017740","AGAP000819","AAEL003020","LOC105256237"
"glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial","QRSL1","ENSMUSG00000019864","FBgn0031500","ENSPANG00000016880","ENSRNOG00000004608","ENSDARG00000012563","AGAP007361","AAEL007987","LOC105249242"
"reticulon-4-interacting protein 1, mitochondrial isoform 1 precursor","RTN4IP1","ENSMUSG00000038160","FBgn0029943","ENSPANG00000008266","ENSRNOG00000026049","ENSDARG00000102822","AGAP006015","AAEL001740","LOC105255219"
"autophagy protein 5 isoform a","ATG5","ENSMUSG00000019849","FBgn0032242","ENSPANG00000025450","ENSRNOG00000000279","ENSDARG00000032704","AGAP006016","AAEL001732","LOC105251575"
"prolyl endopeptidase","PREP","ENSMUSG00000019849","FBgn0032969","ENSPANG00000015134","ENSRNOG00000000322","ENSDARG00000031366",NA,"AAEL012218","LOC105253151"
"prolyl endopeptidase","PREP","ENSMUSG00000038822","FBgn0261931","ENSPANG00000015134","ENSRNOG00000051061","ENSDARG00000023396","AGAP004057","AAEL002766","LOC105253151"
NA,"HACE1","ENSMUSG00000038774","FBgn0038344",NA,"ENSRNOG00000051061","ENSDARG00000057151","AGAP009178","AAEL001183",NA
"activating signal cointegrator 1 complex subunit 3 isoform a, activating signal cointegrator 1 complex subunit 3 isoform X1, activating signal cointegrator 1 complex subunit 3 isoform X2, activating signal cointegrator 1 complex subunit 3 isoform X3","ASCC3","ENSMUSG00000019893","FBgn0003366","ENSPANG00000006307",NA,"ENSDARG00000057151","AGAP010939","AAEL002286","LOC105258306"
"proto-oncogene tyrosine-protein kinase ROS precursor, proto-oncogene tyrosine-protein kinase ROS isoform X5, proto-oncogene tyrosine-protein kinase ROS isoform X1, proto-oncogene tyrosine-protein kinase ROS isoform X2, proto-oncogene tyrosine-protein kinase ROS isoform X3, proto-oncogene tyrosine-protein kinase ROS isoform X4, proto-oncogene tyrosine-protein kinase ROS isoform X8, proto-oncogene tyrosine-protein kinase ROS isoform X9, proto-oncogene tyrosine-protein kinase ROS isoform X6, proto-oncogene tyrosine-protein kinase ROS isoform X7","ROS1","ENSMUSG00000019857","FBgn0029094","ENSPANG00000022514","ENSRNOG00000037604",NA,"AGAP009172","AAEL009142","LOC105258133"
"histone chaperone ASF1A","ASF1A","ENSMUSG00000003746","FBgn0259170","ENSPANG00000009918","ENSRNOG00000000406","ENSDARG00000086678",NA,NA,"LOC105253448"
"mannosyl-oligosaccharide 1,2-alpha-mannosidase IA, mannosyl-oligosaccharide 1,2-alpha-mannosidase IA isoform X2","MAN1A1","ENSMUSG00000047669","FBgn0002775","ENSPANG00000019275","ENSRNOG00000000415",NA,"AGAP000797","AAEL005774","LOC105254509"
NA,NA,"ENSMUSG00000019877","FBgn0028399",NA,"ENSRNOG00000000800","ENSDARG00000043713","AGAP001234",NA,NA
"serine incorporator 1 precursor","SERINC1","ENSMUSG00000019874","FBgn0037913","ENSPANG00000021642","ENSRNOG00000000801","ENSDARG00000101037","AGAP000015","AAEL007742","LOC105259239"
NA,"FABP7","ENSMUSG00000019920","FBgn0020249","ENSPANG00000022797","ENSRNOG00000029360","ENSDARG00000005652","AGAP005920","AAEL012830",NA
"LIM and senescent cell antigen-like-containing domain protein 4 isoform 2","LIMS4","ENSMUSG00000003226","FBgn0039302","ENSPANG00000017633","ENSRNOG00000000814",NA,NA,"AAEL013678","LOC105250264"
"LIM and senescent cell antigen-like-containing domain protein 1 isoform c, LIM and senescent cell antigen-like-containing domain protein 1 isoform d, LIM and senescent cell antigen-like-containing domain protein 1 isoform e, LIM and senescent cell antigen-like-containing domain protein 1 isoform a, LIM and senescent cell antigen-like-containing domain protein 1 isoform b, LIM and senescent cell antigen-like-containing domain protein 1 isoform f, LIM and senescent cell antigen-like-containing domain protein 1 isoform g, LIM and senescent cell antigen-like-containing domain protein 1 isoform h, LIM and senescent cell antigen-like-containing domain protein 1 isoform i","LIMS1","ENSMUSG00000037990","FBgn0040294","ENSPANG00000000990","ENSRNOG00000037765","ENSDARG00000009106","AGAP001917","AAEL014721","LOC105250264"
NA,"AC112229.3","ENSMUSG00000019917","FBgn0026361","ENSPANG00000006520","ENSRNOG00000000796","ENSDARG00000007697","AGAP002569","AAEL010054",NA
NA,"LIMS3-LOC440895","ENSMUSG00000019917","FBgn0014029","ENSPANG00000008627","ENSRNOG00000046791","ENSDARG00000034650",NA,"AAEL005699",NA
NA,"LIMS3","ENSMUSG00000019916","FBgn0039776","ENSPANG00000008627","ENSRNOG00000049507","ENSDARG00000026985","AGAP003429","AAEL005997",NA
NA,"RANBP2","ENSMUSG00000069622","FBgn0058042","ENSPANG00000022355","ENSRNOG00000049507","ENSDARG00000093125","AGAP012744","AAEL002415",NA
"E3 ubiquitin-protein ligase SH3RF3 precursor","SH3RF3","ENSMUSG00000009647","FBgn0042185","ENSPANG00000022652","ENSRNOG00000050655","ENSDARG00000102334","AGAP002982","AAEL009884","LOC105257585"
NA,"SEPT10","ENSMUSG00000020111","FBgn0031893","ENSPANG00000022327","ENSRNOG00000019811","ENSDARG00000099236","AGAP011487","AAEL000763",NA
NA,"SEPT10","ENSMUSG00000020109","FBgn0038195","ENSPANG00000022329","ENSRNOG00000045920","ENSDARG00000099236",NA,NA,NA
"prolyl 4-hydroxylase subunit alpha-1 isoform 1 precursor, prolyl 4-hydroxylase subunit alpha-1 isoform 2 precursor","P4HA1","ENSMUSG00000020108","FBgn0041094","ENSPANG00000022312","ENSRNOG00000043436","ENSDARG00000033537","AGAP011532","AAEL004668","LOC105248930"
NA,"TIMM23B","ENSMUSG00000044475","FBgn0033475","ENSPANG00000022314","ENSRNOG00000030408","ENSDARG00000071082","AGAP000971","AAEL007038",NA
"mitochondrial import inner membrane translocase subunit Tim23","TIMM23","ENSMUSG00000020099","FBgn0034013","ENSPANG00000022316","ENSRNOG00000057078","ENSDARG00000100375","AGAP010210","AAEL003204","LOC105249282"
"calcium uniporter protein, mitochondrial isoform 3, calcium uniporter protein, mitochondrial isoform 1 precursor, calcium uniporter protein, mitochondrial isoform X1","MCU","ENSMUSG00000020097","FBgn0010591","ENSPANG00000022279","ENSRNOG00000056647","ENSDARG00000101175",NA,"AAEL013564","LOC105247915"
"calcium uptake protein 1, mitochondrial isoform 2, calcium uptake protein 1, mitochondrial isoform 4, calcium uptake protein 1, mitochondrial isoform 1","MICU1","ENSMUSG00000020091","FBgn0261560","ENSPANG00000022284","ENSRNOG00000000567","ENSDARG00000063358","AGAP009117","AAEL010116","LOC105251533"
"dnaJ homolog subfamily B member 12 isoform 1, dnaJ homolog subfamily B member 12 isoform 2","DNAJB12","ENSMUSG00000037151","FBgn0030357","ENSPANG00000022261","ENSRNOG00000000565","ENSDARG00000087473","AGAP001810","AAEL010116","LOC105250774"
NA,"DDIT4","ENSMUSG00000020089","FBgn0016687","ENSPANG00000022262","ENSRNOG00000055391","ENSDARG00000039363",NA,"AAEL013199",NA
NA,"ASCC1","ENSMUSG00000020088","FBgn0038947","ENSPANG00000022268","ENSRNOG00000000560","ENSDARG00000037618","AGAP007571",NA,NA
"netrin receptor UNC5B isoform 2 precursor, netrin receptor UNC5B isoform 1 precursor, netrin receptor UNC5B isoform X1","UNC5B","ENSMUSG00000020079","FBgn0037232","ENSPANG00000022249",NA,"ENSDARG00000077760","AGAP009061","AAEL010199","LOC105254692"
"sphingosine-1-phosphate lyase 1, sphingosine-1-phosphate lyase 1 isoform X1","SGPL1","ENSMUSG00000036955","FBgn0031659","ENSPANG00000022168","ENSRNOG00000000557","ENSDARG00000033327","AGAP001724","AAEL011050","LOC105250393"
"eukaryotic translation initiation factor 4E-binding protein 2","EIF4EBP2","ENSMUSG00000036875","FBgn0030170","ENSPANG00000022139","ENSRNOG00000000392","ENSDARG00000061375","AGAP007781",NA,"LOC105258307"
"leucine-rich repeat-containing protein 20 isoform 1, leucine-rich repeat-containing protein 20 isoform X1","LRRC20","ENSMUSG00000020070","FBgn0051064","ENSPANG00000022119","ENSRNOG00000000395","ENSDARG00000031819","AGAP002575","AAEL003188","LOC105259068"
"inorganic pyrophosphatase","PPA1","ENSMUSG00000020064","FBgn0035207","ENSPANG00000022103",NA,"ENSDARG00000105018","AGAP003398","AAEL001864","LOC105254354"
"GTP-binding protein SAR1a","SAR1A","ENSMUSG00000048185","FBgn0044020","ENSPANG00000022076","ENSRNOG00000000390","ENSDARG00000030441","AGAP004098","AAEL004212","LOC105249033"
"ATP-dependent RNA helicase SUPV3L1, mitochondrial isoform 1","SUPV3L1","ENSMUSG00000057134","FBgn0035839","ENSPANG00000008716","ENSRNOG00000061040","ENSDARG00000103403","AGAP003508","AAEL003193","LOC105248475"
NA,"KIF1BP","ENSMUSG00000019944","FBgn0036980","ENSPANG00000016238",NA,"ENSDARG00000077728","AGAP009536","AAEL010012",NA
"DNA replication ATP-dependent helicase/nuclease DNA2, DNA replication ATP-dependent helicase/nuclease DNA2 isoform X1","DNA2","ENSMUSG00000019942","FBgn0004106","ENSPANG00000022029",NA,"ENSDARG00000062053","AGAP004685","AAEL007512","LOC105258864"
"RUN and FYVE domain-containing protein 2 isoform d, RUN and FYVE domain-containing protein 2 isoform a, RUN and FYVE domain-containing protein 2 isoform X3, RUN and FYVE domain-containing protein 2 isoform X2","RUFY2","ENSMUSG00000014329","FBgn0000182","ENSPANG00000022031","ENSRNOG00000000633","ENSDARG00000078759",NA,NA,"LOC105251051"
"probable E3 ubiquitin-protein ligase HERC4 isoform b, probable E3 ubiquitin-protein ligase HERC4 isoform a, probable E3 ubiquitin-protein ligase HERC4 isoform X1, probable E3 ubiquitin-protein ligase HERC4 isoform X2, probable E3 ubiquitin-protein ligase HERC4 isoform X3, probable E3 ubiquitin-protein ligase HERC4 isoform X4","HERC4","ENSMUSG00000003923","FBgn0038805","ENSPANG00000022024","ENSRNOG00000000632","ENSDARG00000062019","AGAP006994","AAEL000201","LOC105252123"
"RING-box protein 2 isoform 1","RNF7","ENSMUSG00000037710","FBgn0062442","ENSPANG00000022026","ENSRNOG00000000614","ENSDARG00000059936","AGAP005562","AAEL002419","LOC105249246"
NA,"ADO","ENSMUSG00000020175","FBgn0035255","ENSPANG00000010159","ENSRNOG00000000613",NA,"AGAP006807","AAEL005820",NA
"rho-related BTB domain-containing protein 1 isoform 1, rho-related BTB domain-containing protein 1 isoform X1","RHOBTB1","ENSMUSG00000033416","FBgn0040375","ENSPANG00000021996","ENSRNOG00000000610","ENSDARG00000042827","AGAP006474",NA,"LOC105256241"
"cyclin-dependent kinase 1 isoform 1, cyclin-dependent kinase 1 isoform X1","CDK1","ENSMUSG00000033427","FBgn0037513","ENSPANG00000019629","ENSRNOG00000001311","ENSDARG00000101898","AGAP009459","AAEL009221","LOC105253176"
"protein bicaudal C homolog 1, protein bicaudal C homolog 1 isoform X1, protein bicaudal C homolog 1 isoform X2, protein bicaudal C homolog 1 isoform X4","BICC1","ENSMUSG00000020180","FBgn0023167","ENSPANG00000022703",NA,"ENSDARG00000053571","AGAP009268","AAEL003354","LOC105253070"
"transcription factor A, mitochondrial isoform 1 precursor","TFAM","ENSMUSG00000006345","FBgn0025837","ENSPANG00000011722","ENSRNOG00000038258","ENSDARG00000079468","AGAP008499","AAEL014636","LOC105252835"
NA,"CISD1","ENSMUSG00000006345","FBgn0030932","ENSPANG00000009279","ENSRNOG00000050410","ENSDARG00000087554","AGAP004484","AAEL003587",NA
"ras-related protein Rab-36 isoform 1, ras-related protein Rab-36 isoform 3, ras-related protein Rab-36 isoform X4, ras-related protein Rab-36 isoform X7","RAB36","ENSMUSG00000092360","FBgn0050000","ENSPANG00000020038","ENSRNOG00000047697","ENSDARG00000070497",NA,"AAEL008621","LOC105252548"
NA,"GUCD1","ENSMUSG00000092360","FBgn0050005","ENSPANG00000020748","ENSRNOG00000047697","ENSDARG00000063145","AGAP011198","AAEL010153",NA
"beta-ureidopropionase, beta-ureidopropionase isoform X1","UPB1","ENSMUSG00000092360","FBgn0030484","ENSPANG00000020038",NA,"ENSDARG00000079516","AGAP010229","AAEL013643","LOC105248772"
"small nuclear ribonucleoprotein Sm D3","SNRPD3","ENSMUSG00000092360","FBgn0031117","ENSPANG00000020748",NA,"ENSDARG00000014058","AGAP012380","AAEL014794","LOC105248739"
NA,"GGT2","ENSMUSG00000001665","FBgn0050000",NA,NA,"ENSDARG00000068438","AGAP008915","AAEL004234",NA
NA,"GGTLC3","ENSMUSG00000001665","FBgn0050005",NA,NA,"ENSDARG00000011521","AGAP010241","AAEL006540",NA
NA,"GGTLC2","ENSMUSG00000001665","FBgn0030484",NA,NA,"ENSDARG00000076283","AGAP008915","AAEL000184",NA
"glutathione hydrolase 1 proenzyme precursor","GGT1","ENSMUSG00000001665","FBgn0031117",NA,NA,"ENSDARG00000013800","AGAP010241","AAEL010284","LOC105248432, LOC105250727"
NA,"GGTLC1","ENSMUSG00000001663","FBgn0050000",NA,NA,"ENSDARG00000018342","AAM61893.1","AAEL011433",NA
NA,"GGT2","ENSMUSG00000001663","FBgn0050005",NA,NA,"ENSDARG00000023526","AAM61892.1","AAEL010935",NA
NA,"GGTLC3","ENSMUSG00000001663","FBgn0030484",NA,"ENSRNOG00000049771","ENSDARG00000018342",NA,"AAEL011824",NA
NA,"GGTLC2","ENSMUSG00000001663","FBgn0031117",NA,"ENSRNOG00000049771","ENSDARG00000023526",NA,"AAEL011822",NA
"glutathione hydrolase 1 proenzyme precursor","GGT1","ENSMUSG00000009093","FBgn0050000","ENSPANG00000021125","ENSRNOG00000049771","ENSDARG00000017388","AAM61893.1","AAEL011823","LOC105248432, LOC105250727"
