mouse_ID,drosophila_ID,baboon_ID,human_ID,rat_ID,zebrafish_ID,anopheles_ID,aedes_ID
ENSMUSG00000071369,FBgn0014006,ENSPANG00000015068,PEX7,ENSRNOG00000031700,ENSDARG00000005416,AGAP008180,AAEL006001
ENSMUSG00000019977,FBgn0042712,ENSPANG00000007075,MAP3K5,ENSRNOG00000014531,ENSDARG00000036778,AGAP009525,AAEL007759
ENSMUSG00000061983,FBgn0260441,ENSPANG00000016805,HBS1L,ENSRNOG00000016411,ENSDARG00000036875,AGAP000635,AAEL003117
ENSMUSG00000019998,FBgn0086377,ENSPANG00000019394,RPS12,ENSRNOG00000020093,ENSDARG00000069208,AGAP006264,AAEL008306
ENSMUSG00000020000,FBgn0036565,ENSPANG00000019776,STX7,ENSRNOG00000015670,ENSDARG00000031136,AGAP000747,AAEL000825
ENSMUSG00000019984,FBgn0034795,ENSPANG00000018075,MOXD1,ENSRNOG00000048248,ENSDARG00000029157,AGAP002603,AAEL010299
ENSMUSG00000019987,FBgn0023535,ENSPANG00000010451,MED23,ENSRNOG00000015321,ENSDARG00000057429,AGAP011077,AAEL007731
ENSMUSG00000019792,FBgn0037250,ENSPANG00000007451,ARG1,ENSRNOG00000013422,ENSDARG00000040033,AGAP005543,AAEL005869
ENSMUSG00000019791,FBgn0054015,ENSPANG00000022840,TRMT11,ENSRNOG00000013304,ENSDARG00000074286,AGAP011450,AAEL014021
ENSMUSG00000039697,FBgn0013576,ENSPANG00000016564,HINT3,ENSRNOG00000014240,ENSDARG00000055365,AGAP006046,AAEL002675
ENSMUSG00000069670,FBgn0085442,ENSPANG00000026299,NCOA7,ENSRNOG00000014190,,AGAP008783,AAEL003922
ENSMUSG00000019787,FBgn0033863,ENSPANG00000020087,NKAIN2,ENSRNOG00000014004,ENSDARG00000069427,AAQ10289.1,AAEL008486
ENSMUSG00000039552,FBgn0034957,,TRDN,ENSRNOG00000029608,ENSDARG00000041779,AGAP007577,AAEL002705
ENSMUSG00000019782,FBgn0039163,ENSPANG00000006886,RSPH4A,ENSRNOG00000012609,ENSDARG00000067606,AGAP001751,
ENSMUSG00000039480,FBgn0035204,ENSPANG00000008148,RWDD1,ENSRNOG00000047471,ENSDARG00000015930,,
ENSMUSG00000019779,FBgn0264959,,NT5DC1,ENSRNOG00000042916,ENSDARG00000006797,,
ENSMUSG00000063953,FBgn0019932,ENSPANG00000015735,FRK,ENSRNOG00000000546,ENSDARG00000027807,,AAEL007647
ENSMUSG00000019843,FBgn0264959,ENSPANG00000006182,AMD1,ENSRNOG00000000543,ENSDARG00000043856,AGAP003063,
ENSMUSG00000019838,FBgn0001296,ENSPANG00000003402,FYN,ENSRNOG00000000585,ENSDARG00000011370,AGAP001319,AAEL002471
ENSMUSG00000038510,FBgn0038585,ENSPANG00000005013,SLC16A10,ENSRNOG00000000596,ENSDARG00000025319,AGAP006270,AAEL001176
ENSMUSG00000075232,FBgn0019932,ENSPANG00000018834,RPF2,ENSRNOG00000000588,ENSDARG00000020984,AGAP009619,AAEL002471
ENSMUSG00000063428,FBgn0033543,ENSPANG00000006182,AMD1,ENSRNOG00000000587,ENSDARG00000043960,AGAP006270,AAEL003524
ENSMUSG00000038446,FBgn0038927,ENSPANG00000006524,DDO,ENSRNOG00000000585,ENSDARG00000043856,AGAP007743,AAEL004455
ENSMUSG00000019831,FBgn0041781,ENSPANG00000023241,CDC40,ENSRNOG00000000582,ENSDARG00000079664,AGAP003048,AAEL001176
ENSMUSG00000038417,FBgn0031611,ENSPANG00000007144,WASF1,ENSRNOG00000000581,ENSDARG00000041226,AGAP009619,AAEL008512
ENSMUSG00000019826,FBgn0003870,ENSPANG00000011216,FIG4,ENSRNOG00000047476,,AGAP005323,AAEL012674
ENSMUSG00000019822,FBgn0035421,ENSPANG00000006918,ZBTB24,ENSRNOG00000000312,,AGAP008925,AAEL004232
ENSMUSG00000038332,FBgn0034897,ENSPANG00000024480,SMPD2,ENSRNOG00000000308,ENSDARG00000075533,AGAP008518,AAEL012519
ENSMUSG00000071324,FBgn0052668,ENSPANG00000012995,SESN1,ENSRNOG00000000306,ENSDARG00000040523,AGAP004477,AAEL008807
ENSMUSG00000038302,FBgn0033734,ENSPANG00000006019,ARMC2,ENSRNOG00000000302,ENSDARG00000052701,AGAP008959,AAEL003932
ENSMUSG00000019803,FBgn0003720,ENSPANG00000007612,AFG1L,ENSRNOG00000026217,ENSDARG00000020693,AGAP008053,AAEL002009
ENSMUSG00000019802,FBgn0035771,ENSPANG00000016092,NR2E1,,ENSDARG00000022660,AGAP007169,AAEL002487
ENSMUSG00000038240,FBgn0037044,ENSPANG00000004976,SEC63,ENSRNOG00000050550,ENSDARG00000011466,AGAP004728,AAEL000195
ENSMUSG00000045886,FBgn0038387,ENSPANG00000017550,PDSS2,ENSRNOG00000000314,ENSDARG00000017107,AGAP009867,AAEL003254
ENSMUSG00000019863,FBgn0260779,,PAM16,ENSRNOG00000042962,ENSDARG00000017740,AGAP000819,AAEL003020
ENSMUSG00000019864,FBgn0031500,ENSPANG00000016880,QRSL1,ENSRNOG00000004608,ENSDARG00000012563,AGAP007361,AAEL007987
ENSMUSG00000038160,FBgn0029943,ENSPANG00000008266,RTN4IP1,ENSRNOG00000026049,ENSDARG00000102822,AGAP006015,AAEL001740
ENSMUSG00000019849,FBgn0032242,ENSPANG00000025450,ATG5,ENSRNOG00000000279,ENSDARG00000032704,AGAP006016,AAEL001732
ENSMUSG00000019849,FBgn0032969,ENSPANG00000015134,PREP,ENSRNOG00000000322,ENSDARG00000031366,,AAEL012218
ENSMUSG00000038822,FBgn0261931,ENSPANG00000015134,PREP,ENSRNOG00000051061,ENSDARG00000023396,AGAP004057,AAEL002766
ENSMUSG00000038774,FBgn0038344,,HACE1,ENSRNOG00000051061,ENSDARG00000057151,AGAP009178,AAEL001183
ENSMUSG00000019893,FBgn0003366,ENSPANG00000006307,ASCC3,,ENSDARG00000057151,AGAP010939,AAEL002286
ENSMUSG00000019857,FBgn0029094,ENSPANG00000022514,ROS1,ENSRNOG00000037604,,AGAP009172,AAEL009142
ENSMUSG00000003746,FBgn0259170,ENSPANG00000009918,ASF1A,ENSRNOG00000000406,ENSDARG00000086678,,
ENSMUSG00000047669,FBgn0002775,ENSPANG00000019275,MAN1A1,ENSRNOG00000000415,,AGAP000797,AAEL005774
ENSMUSG00000019877,FBgn0028399,,,ENSRNOG00000000800,ENSDARG00000043713,AGAP001234,
ENSMUSG00000019874,FBgn0037913,ENSPANG00000021642,SERINC1,ENSRNOG00000000801,ENSDARG00000101037,AGAP000015,AAEL007742
ENSMUSG00000019920,FBgn0020249,ENSPANG00000022797,FABP7,ENSRNOG00000029360,ENSDARG00000005652,AGAP005920,AAEL012830
ENSMUSG00000003226,FBgn0039302,ENSPANG00000017633,LIMS4,ENSRNOG00000000814,,,AAEL013678
ENSMUSG00000037990,FBgn0040294,ENSPANG00000000990,LIMS1,ENSRNOG00000037765,ENSDARG00000009106,AGAP001917,AAEL014721
ENSMUSG00000019917,FBgn0026361,ENSPANG00000006520,AC112229.3,ENSRNOG00000000796,ENSDARG00000007697,AGAP002569,AAEL010054
ENSMUSG00000019917,FBgn0014029,ENSPANG00000008627,LIMS3-LOC440895,ENSRNOG00000046791,ENSDARG00000034650,,AAEL005699
ENSMUSG00000019916,FBgn0039776,ENSPANG00000008627,LIMS3,ENSRNOG00000049507,ENSDARG00000026985,AGAP003429,AAEL005997
ENSMUSG00000069622,FBgn0058042,ENSPANG00000022355,RANBP2,ENSRNOG00000049507,ENSDARG00000093125,AGAP012744,AAEL002415
ENSMUSG00000009647,FBgn0042185,ENSPANG00000022652,SH3RF3,ENSRNOG00000050655,ENSDARG00000102334,AGAP002982,AAEL009884
ENSMUSG00000020111,FBgn0031893,ENSPANG00000022327,SEPT10,ENSRNOG00000019811,ENSDARG00000099236,AGAP011487,AAEL000763
ENSMUSG00000020109,FBgn0038195,ENSPANG00000022329,SEPT10,ENSRNOG00000045920,ENSDARG00000099236,,
ENSMUSG00000020108,FBgn0041094,ENSPANG00000022312,P4HA1,ENSRNOG00000043436,ENSDARG00000033537,AGAP011532,AAEL004668
ENSMUSG00000044475,FBgn0033475,ENSPANG00000022314,TIMM23B,ENSRNOG00000030408,ENSDARG00000071082,AGAP000971,AAEL007038
ENSMUSG00000020099,FBgn0034013,ENSPANG00000022316,TIMM23,ENSRNOG00000057078,ENSDARG00000100375,AGAP010210,AAEL003204
ENSMUSG00000020097,FBgn0010591,ENSPANG00000022279,MCU,ENSRNOG00000056647,ENSDARG00000101175,,AAEL013564
ENSMUSG00000020091,FBgn0261560,ENSPANG00000022284,MICU1,ENSRNOG00000000567,ENSDARG00000063358,AGAP009117,AAEL010116
ENSMUSG00000037151,FBgn0030357,ENSPANG00000022261,DNAJB12,ENSRNOG00000000565,ENSDARG00000087473,AGAP001810,AAEL010116
ENSMUSG00000020089,FBgn0016687,ENSPANG00000022262,DDIT4,ENSRNOG00000055391,ENSDARG00000039363,,AAEL013199
ENSMUSG00000020088,FBgn0038947,ENSPANG00000022268,ASCC1,ENSRNOG00000000560,ENSDARG00000037618,AGAP007571,
ENSMUSG00000020079,FBgn0037232,ENSPANG00000022249,UNC5B,,ENSDARG00000077760,AGAP009061,AAEL010199
ENSMUSG00000036955,FBgn0031659,ENSPANG00000022168,SGPL1,ENSRNOG00000000557,ENSDARG00000033327,AGAP001724,AAEL011050
ENSMUSG00000036875,FBgn0030170,ENSPANG00000022139,EIF4EBP2,ENSRNOG00000000392,ENSDARG00000061375,AGAP007781,
ENSMUSG00000020070,FBgn0051064,ENSPANG00000022119,LRRC20,ENSRNOG00000000395,ENSDARG00000031819,AGAP002575,AAEL003188
ENSMUSG00000020064,FBgn0035207,ENSPANG00000022103,PPA1,,ENSDARG00000105018,AGAP003398,AAEL001864
ENSMUSG00000048185,FBgn0044020,ENSPANG00000022076,SAR1A,ENSRNOG00000000390,ENSDARG00000030441,AGAP004098,AAEL004212
ENSMUSG00000057134,FBgn0035839,ENSPANG00000008716,SUPV3L1,ENSRNOG00000061040,ENSDARG00000103403,AGAP003508,AAEL003193
ENSMUSG00000019944,FBgn0036980,ENSPANG00000016238,KIF1BP,,ENSDARG00000077728,AGAP009536,AAEL010012
ENSMUSG00000019942,FBgn0004106,ENSPANG00000022029,DNA2,,ENSDARG00000062053,AGAP004685,AAEL007512
ENSMUSG00000014329,FBgn0000182,ENSPANG00000022031,RUFY2,ENSRNOG00000000633,ENSDARG00000078759,,
ENSMUSG00000003923,FBgn0038805,ENSPANG00000022024,HERC4,ENSRNOG00000000632,ENSDARG00000062019,AGAP006994,AAEL000201
ENSMUSG00000037710,FBgn0062442,ENSPANG00000022026,RNF7,ENSRNOG00000000614,ENSDARG00000059936,AGAP005562,AAEL002419
ENSMUSG00000020175,FBgn0035255,ENSPANG00000010159,ADO,ENSRNOG00000000613,,AGAP006807,AAEL005820
ENSMUSG00000033416,FBgn0040375,ENSPANG00000021996,RHOBTB1,ENSRNOG00000000610,ENSDARG00000042827,AGAP006474,
ENSMUSG00000033427,FBgn0037513,ENSPANG00000019629,CDK1,ENSRNOG00000001311,ENSDARG00000101898,AGAP009459,AAEL009221
ENSMUSG00000020180,FBgn0023167,ENSPANG00000022703,BICC1,,ENSDARG00000053571,AGAP009268,AAEL003354
ENSMUSG00000006345,FBgn0025837,ENSPANG00000011722,TFAM,ENSRNOG00000038258,ENSDARG00000079468,AGAP008499,AAEL014636
ENSMUSG00000006345,FBgn0030932,ENSPANG00000009279,CISD1,ENSRNOG00000050410,ENSDARG00000087554,AGAP004484,AAEL003587
ENSMUSG00000092360,FBgn0050000,ENSPANG00000020038,RAB36,ENSRNOG00000047697,ENSDARG00000070497,,AAEL008621
ENSMUSG00000092360,FBgn0050005,ENSPANG00000020748,GUCD1,ENSRNOG00000047697,ENSDARG00000063145,AGAP011198,AAEL010153
ENSMUSG00000092360,FBgn0030484,ENSPANG00000020038,UPB1,,ENSDARG00000079516,AGAP010229,AAEL013643
ENSMUSG00000092360,FBgn0031117,ENSPANG00000020748,SNRPD3,,ENSDARG00000014058,AGAP012380,AAEL014794
ENSMUSG00000001665,FBgn0050000,,GGT2,,ENSDARG00000068438,AGAP008915,AAEL004234
ENSMUSG00000001665,FBgn0050005,,GGTLC3,,ENSDARG00000011521,AGAP010241,AAEL006540
ENSMUSG00000001665,FBgn0030484,,GGTLC2,,ENSDARG00000076283,AGAP008915,AAEL000184
ENSMUSG00000001665,FBgn0031117,,GGT1,,ENSDARG00000013800,AGAP010241,AAEL010284
ENSMUSG00000001663,FBgn0050000,,GGTLC1,,ENSDARG00000018342,AAM61893.1,AAEL011433
ENSMUSG00000001663,FBgn0050005,,GGT2,,ENSDARG00000023526,AAM61892.1,AAEL010935
ENSMUSG00000001663,FBgn0030484,,GGTLC3,ENSRNOG00000049771,ENSDARG00000018342,,AAEL011824
ENSMUSG00000001663,FBgn0031117,,GGTLC2,ENSRNOG00000049771,ENSDARG00000023526,,AAEL011822
ENSMUSG00000009093,FBgn0050000,ENSPANG00000021125,GGT1,ENSRNOG00000049771,ENSDARG00000017388,AAM61893.1,AAEL011823
ENSMUSG00000009093,FBgn0050005,ENSPANG00000021125,GGTLC1,ENSRNOG00000049771,ENSDARG00000042428,AAM61892.1,AAEL015391
ENSMUSG00000009093,FBgn0030484,ENSPANG00000021125,,ENSRNOG00000038300,ENSDARG00000017388,AAM61893.1,AAEL004240
ENSMUSG00000009093,FBgn0031117,ENSPANG00000021125,,ENSRNOG00000038300,ENSDARG00000042428,AAM61892.1,AAEL010935
ENSMUSG00000033318,FBgn0050000,,,ENSRNOG00000038300,ENSDARG00000017388,,AAEL011824
ENSMUSG00000033318,FBgn0050005,,,ENSRNOG00000038300,ENSDARG00000042428,,AAEL011822
ENSMUSG00000033318,FBgn0030484,,,ENSRNOG00000052415,ENSDARG00000017388,AAM61893.1,AAEL011823
ENSMUSG00000033318,FBgn0031117,,,ENSRNOG00000052360,ENSDARG00000042428,AAM61892.1,AAEL015391
ENSMUSG00000009092,FBgn0038438,ENSPANG00000021138,,ENSRNOG00000052415,ENSDARG00000017388,AAM61893.1,AAEL004240
ENSMUSG00000000902,FBgn0011715,ENSPANG00000021138,,ENSRNOG00000052360,ENSDARG00000042428,AAM61892.1,AAEL009020
ENSMUSG00000020231,FBgn0024806,ENSPANG00000021138,,ENSRNOG00000052415,ENSDARG00000017388,,AAEL009017
ENSMUSG00000001120,FBgn0262737,ENSPANG00000021138,,ENSRNOG00000052360,ENSDARG00000042428,,AAEL009016
ENSMUSG00000001436,FBgn0037845,ENSPANG00000026463,,ENSRNOG00000052415,ENSDARG00000017388,AAM61893.1,
ENSMUSG00000020260,FBgn0027791,ENSPANG00000026464,,ENSRNOG00000052360,ENSDARG00000042428,AAM61892.1,AAEL004229
ENSMUSG00000020262,FBgn0026086,ENSPANG00000022431,GSTT4,ENSRNOG00000055498,ENSDARG00000017388,AAM61893.1,AAEL009020
ENSMUSG00000020265,FBgn0264922,ENSPANG00000023631,GSTT4,ENSRNOG00000061740,ENSDARG00000042428,AAM61892.1,AAEL009017
ENSMUSG00000112241,FBgn0264922,ENSPANG00000017097,GSTT4,ENSRNOG00000043212,ENSDARG00000017388,,AAEL009016
ENSMUSG00000009293,FBgn0267384,ENSPANG00000023630,GSTT4,ENSRNOG00000001245,ENSDARG00000042428,,AAEL009020
ENSMUSG00000112170,FBgn0002865,ENSPANG00000020871,GSTT2B,ENSRNOG00000001232,ENSDARG00000017388,AAM61893.1,AAEL009017
ENSMUSG00000095721,FBgn0002865,ENSPANG00000020191,GSTT2,ENSRNOG00000001228,ENSDARG00000042428,AAM61892.1,AAEL009016
ENSMUSG00000096131,FBgn0085353,ENSPANG00000015418,GSTT2B,ENSRNOG00000001227,ENSDARG00000017388,AAM61893.1,
ENSMUSG00000096380,FBgn0085353,ENSPANG00000010717,GSTT2,ENSRNOG00000003670,ENSDARG00000042428,AAM61892.1,AAEL004229
ENSMUSG00000112653,FBgn0046873,ENSPANG00000021082,GSTT2B,ENSRNOG00000038489,ENSDARG00000017388,,AAEL009020
ENSMUSG00000020277,FBgn0003071,ENSPANG00000024485,GSTT2,ENSRNOG00000032840,ENSDARG00000042428,,AAEL009017
ENSMUSG00000032834,FBgn0033557,ENSPANG00000006270,GSTT2B,ENSRNOG00000003670,ENSDARG00000017388,AAM61893.1,AAEL009016
ENSMUSG00000000374,FBgn0038303,ENSPANG00000000560,GSTT2,ENSRNOG00000038489,ENSDARG00000042428,AAM61892.1,AAEL009020
ENSMUSG00000001211,FBgn0036622,ENSPANG00000024485,DERL3,ENSRNOG00000032840,ENSDARG00000017388,AGAP000832,AAEL009017
ENSMUSG00000001211,FBgn0036623,ENSPANG00000006270,SMARCB1,ENSRNOG00000001222,ENSDARG00000042428,AGAP001154,AAEL009016
ENSMUSG00000032788,FBgn0085484,ENSPANG00000000560,DIP2A,ENSRNOG00000042329,ENSDARG00000017388,AGAP011333,
ENSMUSG00000005357,FBgn0026439,,PCBP3,ENSRNOG00000060674,ENSDARG00000042428,AGAP004942,AAEL004229
ENSMUSG00000052151,FBgn0041087,ENSPANG00000024485,SLC19A1,ENSRNOG00000001218,ENSDARG00000017388,,AAEL009020
ENSMUSG00000020312,FBgn0015296,ENSPANG00000006270,POFUT2,ENSRNOG00000032530,ENSDARG00000042428,ABA29475.1,AAEL009017
ENSMUSG00000035963,FBgn0039104,ENSPANG00000000560,ADARB1,ENSRNOG00000047532,,AGAP000185,AAEL009016
ENSMUSG00000020329,FBgn0261938,,SUMO3,ENSRNOG00000042797,,AGAP001701,AAEL009020
ENSMUSG00000035890,FBgn0037653,ENSPANG00000009402,,ENSRNOG00000046538,,AGAP000852,AAEL009017
ENSMUSG00000006498,FBgn0011224,ENSPANG00000006267,UBE2G2,ENSRNOG00000043302,,AGAP001701,AAEL009016
ENSMUSG00000013833,FBgn0034707,ENSPANG00000005640,,ENSRNOG00000042329,,AGAP000852,
ENSMUSG00000035754,FBgn0023514,ENSPANG00000007015,,ENSRNOG00000060674,ENSDARG00000011594,AGAP002169,AAEL004229
ENSMUSG00000004667,FBgn0033571,ENSPANG00000007015,,ENSRNOG00000001218,ENSDARG00000033647,AGAP011100,AAEL009020
ENSMUSG00000003072,FBgn0028342,ENSPANG00000022111,,ENSRNOG00000032530,ENSDARG00000078058,AGAP011100,AAEL009017
ENSMUSG00000020153,FBgn0039669,ENSPANG00000017791,,ENSRNOG00000047532,ENSDARG00000054378,,AAEL009016
ENSMUSG00000020153,FBgn0030718,ENSPANG00000009248,PFKL,ENSRNOG00000042797,ENSDARG00000033993,,AAEL009020
ENSMUSG00000069565,FBgn0004838,ENSPANG00000018868,FP565260.1,ENSRNOG00000046538,ENSDARG00000045175,,AAEL009017
ENSMUSG00000063457,FBgn0034138,ENSPANG00000006435,PWP2,ENSRNOG00000043302,ENSDARG00000041609,AGAP007642,AAEL009016
ENSMUSG00000035478,FBgn0027950,ENSPANG00000006649,TRAPPC10,ENSRNOG00000042329,ENSDARG00000003544,AGAP010693,
ENSMUSG00000003346,FBgn0053096,ENSPANG00000010113,FP565260.6,ENSRNOG00000060674,ENSDARG00000102741,AGAP002242,AAEL004229
ENSMUSG00000113640,FBgn0034360,ENSPANG00000007281,AGPAT3,ENSRNOG00000001218,ENSDARG00000028119,AGAP007113,AAEL009020
ENSMUSG00000003345,FBgn0250823,ENSPANG00000017881,AGPAT3,ENSRNOG00000032530,ENSDARG00000035993,AGAP007113,AAEL009017
ENSMUSG00000003348,FBgn0259482,ENSPANG00000009755,PDXK,ENSRNOG00000047532,ENSDARG00000102741,AGAP005929,AAEL009016
ENSMUSG00000020198,FBgn0001087,ENSPANG00000018011,SLC1A6,ENSRNOG00000042797,ENSDARG00000028119,AGAP009443,AAEL008425
ENSMUSG00000035215,FBgn0261068,ENSPANG00000021072,PLPP2,ENSRNOG00000046538,ENSDARG00000035993,,AAEL004371
ENSMUSG00000020219,FBgn0083968,ENSPANG00000003569,,ENSRNOG00000043302,ENSDARG00000025404,AGAP011463,
ENSMUSG00000020219,FBgn0036204,ENSPANG00000003569,ODF3L2,ENSRNOG00000042329,,AGAP001620,
ENSMUSG00000062075,FBgn0002525,ENSPANG00000004638,POLRMT,ENSRNOG00000060674,,,
ENSMUSG00000062075,FBgn0010397,ENSPANG00000013566,RNF126,ENSRNOG00000001218,,AGAP002758,AAEL004163
ENSMUSG00000048240,FBgn0004921,ENSPANG00000015324,PTBP1,ENSRNOG00000032530,,AGAP003945,AAEL002522
ENSMUSG00000004937,FBgn0032640,ENSPANG00000012220,MED16,ENSRNOG00000047532,,,AAEL013787
ENSMUSG00000035027,FBgn0010269,ENSPANG00000019293,WDR18,ENSRNOG00000042797,ENSDARG00000099755,AGAP000479,AAEL015064
ENSMUSG00000034994,FBgn0000559,ENSPANG00000004272,POLR2E,ENSRNOG00000046538,ENSDARG00000060504,AGAP010064,AAEL013787
ENSMUSG00000034917,FBgn0262614,ENSPANG00000019262,ATP5F1D,ENSRNOG00000043302,ENSDARG00000037109,AGAP007841,AAEL015064
ENSMUSG00000034889,FBgn0031114,ENSPANG00000015379,NDUFS7,ENSRNOG00000042383,ENSDARG00000098118,,AAEL007822
ENSMUSG00000034872,FBgn0010504,ENSPANG00000020668,NDUFS7,ENSRNOG00000001214,ENSDARG00000036549,AGAP000170,AAEL014231
ENSMUSG00000020232,FBgn0026582,ENSPANG00000008910,DAZAP1,ENSRNOG00000001210,ENSDARG00000036549,AGAP001930,AAEL014231
ENSMUSG00000020235,FBgn0262699,ENSPANG00000008910,RPS15,ENSRNOG00000023210,ENSDARG00000036546,AGAP001274,
ENSMUSG00000078440,FBgn0261479,ENSPANG00000013393,MBD3,ENSRNOG00000001205,ENSDARG00000088959,AGAP003982,
ENSMUSG00000113262,FBgn0261479,ENSPANG00000013393,ABHD17A,ENSRNOG00000001205,,,AAEL010746
ENSMUSG00000020238,FBgn0032217,ENSPANG00000011892,ADAT3,ENSRNOG00000049970,ENSDARG00000028896,AGAP007066,AAEL006895
ENSMUSG00000034781,FBgn0004435,ENSPANG00000006535,CSNK1G2,ENSRNOG00000049937,ENSDARG00000002231,AGAP003997,AAEL003975
ENSMUSG00000034748,FBgn0037802,ENSPANG00000008882,MOB3A,ENSRNOG00000007509,ENSDARG00000062080,AGAP007872,AAEL010796
ENSMUSG00000112160,FBgn0022720,ENSPANG00000007589,AP3D1,ENSRNOG00000000177,ENSDARG00000021432,AGAP000161,AAEL010399
ENSMUSG00000073427,FBgn0033934,ENSPANG00000013784,LSM7,ENSRNOG00000008030,ENSDARG00000014209,AGAP008122,AAEL014026
ENSMUSG00000034612,FBgn0032618,ENSPANG00000019259,TIMM13,ENSRNOG00000008199,ENSDARG00000101220,AGAP002277,AAEL010399
ENSMUSG00000020256,FBgn0032945,ENSPANG00000012469,TIMM13,ENSRNOG00000024879,ENSDARG00000104076,AGAP002277,AAEL014026
ENSMUSG00000034560,FBgn0030739,ENSPANG00000010575,LMNB2,ENSRNOG00000009028,ENSDARG00000031907,AGAP011938,AAEL009601
ENSMUSG00000020034,FBgn0029820,ENSPANG00000004724,LMNB2,ENSRNOG00000010448,ENSDARG00000040779,,AAEL004496
ENSMUSG00000034453,FBgn0004463,ENSPANG00000017164,GNG7,ENSRNOG00000011315,ENSDARG00000041113,AGAP010589,
ENSMUSG00000035620,FBgn0028292,ENSPANG00000017164,SGTA,ENSRNOG00000012379,ENSDARG00000026183,,AAEL008739
ENSMUSG00000020042,FBgn0264711,ENSPANG00000009308,MAP2K2,ENSRNOG00000013545,ENSDARG00000074274,AGAP001103,AAEL003501
ENSMUSG00000001785,FBgn0263510,ENSPANG00000011891,AC011005.1,ENSRNOG00000014625,ENSDARG00000019404,AGAP009441,AAEL001847
ENSMUSG00000001783,FBgn0032781,ENSPANG00000004922,EEF2,ENSRNOG00000024568,ENSDARG00000074552,,AAEL013965
